#timestamp,left,right,acc_x,acc_y,acc_z,roll,pitch,yaw,event
1568115620775,-210,146,-2234,1607,-16223,13,103,-10,0
1568115620791,-208,148,-2194,1632,-16284,10,128,-19,0
1568115620798,-207,147,-2162,1603,-16337,-20,153,-16,0
1568115620805,-207,146,-2293,1672,-16436,-8,133,9,0
1568115620824,-208,144,-2234,1635,-16436,-11,93,3,0
1568115620827,-209,146,-2221,1618,-16447,-9,49,10,0
1568115620836,-210,148,-2174,1642,-16412,6,15,-2,0
1568115620854,-211,150,-2245,1649,-16316,-8,-6,-10,0
1568115620857,-215,141,-2273,1685,-16378,-7,-20,-11,0
1568115620870,-222,131,-2179,1660,-16324,-24,-21,-12,0
1568115620881,-240,119,-2206,1667,-16299,-27,-12,-6,0
1568115620887,-254,106,-2248,1591,-16306,-10,6,12,0
1568115620895,-274,82,-2320,1680,-16340,-34,23,-2,0
1568115620910,-296,44,-2244,1614,-16348,-7,54,-21,0
1568115620917,-301,6,-2258,1572,-16377,-13,70,-3,0
1568115620925,-308,-39,-2193,1669,-16338,-6,62,-15,0
1568115620940,-323,-71,-2265,1669,-16372,36,83,-14,0
1568115620948,-334,-74,-2214,1654,-16390,46,71,-15,0
1568115620955,-336,-59,-2190,1625,-16352,37,84,-25,0
1568115620971,-327,-31,-2156,1635,-16361,48,50,-40,0
1568115620978,-306,10,-2145,1620,-16401,46,49,-52,0
1568115620985,-275,52,-2206,1650,-16360,53,54,-41,0
1568115621002,-237,82,-2240,1572,-16353,50,42,-26,0
1568115621009,-207,100,-2244,1571,-16363,43,14,1,0
1568115621020,-192,107,-2211,1551,-16321,63,19,5,0
1568115621038,-181,110,-2155,1607,-16381,55,2,37,0
1568115621040,-171,114,-2115,1606,-16322,51,-5,38,0
1568115621045,-163,125,-2220,1564,-16306,65,-14,57,0
1568115621060,-153,148,-2176,1555,-16314,37,-21,60,0
1568115621074,-148,164,-2300,1593,-16359,37,-11,63,0
1568115621075,-153,168,-2237,1613,-16360,35,-29,73,0
1568115621090,-156,172,-2128,1588,-16393,46,-15,78,0
1568115621098,-154,178,-2211,1653,-16380,35,-25,82,0
1568115621106,-150,184,-2283,1605,-16348,36,-21,78,0
1568115621121,-152,190,-2217,1589,-16338,29,-15,83,0
1568115621127,-158,191,-2257,1607,-16374,10,0,62,0
1568115621138,-166,186,-2215,1593,-16346,31,-12,42,0
1568115621150,-173,179,-2187,1649,-16366,8,6,44,0
1568115621157,-177,178,-2203,1629,-16356,-16,-11,17,0
1568115621167,-180,180,-2147,1603,-16375,-19,-20,7,0
1568115621180,-183,178,-2240,1619,-16366,1,-31,16,0
1568115621188,-188,175,-2167,1630,-16371,21,-3,15,0
